date,value_eur
2025-06-24,640.71 
2025-06-25,643.61 
2025-06-26,637.47 
2025-06-27,653.12 
2025-06-28,654.55 
2025-06-29,663.12 
2025-06-30,668.75 
2025-07-01,680.81 
2025-07-02,684.39 
2025-07-03,701.03 
2025-07-04,692.86 
2025-07-05,689.67 
2025-07-06,688.73 
2025-07-07,685.39 
2025-07-08,680.85 
2025-07-09,682.98 
2025-07-10,669.84 
2025-07-11,669.41 
2025-07-12,667.17 
2025-07-13,663.74 
2025-07-14,661.60 
2025-07-15,664.55 
2025-07-16,669.27 
2025-07-17,676.13 
2025-07-18,657.99 
2025-07-19,670.36 
2025-07-20,675.74 
2025-07-21,665.29 
2025-07-22,644.64 
2025-07-23,633.74 
2025-07-24,633.80 
2025-07-25,633.88 
2025-07-26,642.71 
2025-07-27,645.72 
2025-07-28,648.72 
2025-07-29,652.47 
2025-07-30,647.21 
2025-07-31,653.01 
2025-08-01,643.22 
2025-08-02,643.22 
2025-08-03,652.02 
2025-08-04,652.11 
2025-08-05,650.62 
2025-08-06,634.16 
2025-08-07,635.46 
2025-08-08,636.21 
2025-08-09,639.32 
2025-08-10,640.73 
2025-08-11,641.86 
2025-08-12,647.16 
2025-08-13,638.78 
2025-08-14,608.67
2025-08-15,640.16
2025-08-16,645.44
2025-08-17,634.9
2025-08-18,624.64
2025-08-19,635.13
