date,value_eur
2023-01-09,123.32 
2023-01-10,123.26 
2023-01-11,123.22 
2023-01-12,124.87 
2023-01-13,128.08 
2023-01-14,124.77 
2023-01-15,125.74 
2023-01-16,130.31 
2023-01-17,130.44 
2023-01-18,128.40 
2023-01-19,130.81 
2023-01-20,132.38 
2023-01-21,132.65 
2023-01-22,131.06 
2023-01-23,133.29 
2023-01-24,134.85 
2023-01-25,135.13 
2023-01-26,133.86 
2023-01-27,134.75 
2023-01-28,136.05 
2023-01-29,139.06 
2023-01-30,135.87 
2023-01-31,135.87 
2023-02-01,136.36 
2023-02-02,136.76 
2023-02-03,140.61 
2023-02-04,141.02 
2023-02-05,145.46 
2023-02-06,144.43 
2023-02-07,142.56 
2023-02-08,142.86 
2023-02-09,148.29 
2023-02-10,148.64 
2023-02-11,147.94 
2023-02-12,150.66 
2023-02-13,150.58 
2023-02-14,148.59 
2023-02-15,149.20 
2023-02-16,149.48 
2023-02-17,159.79 
2023-02-18,156.76 
2023-02-19,155.92 
2023-02-20,158.22 
2023-02-21,166.89 
2023-02-22,162.44 
2023-02-23,164.88 
2023-02-24,165.15 
2023-02-25,165.12 
2023-02-26,163.83 
2023-02-27,162.24 
2023-02-28,163.23 
2023-03-01,161.51 
2023-03-02,162.14 
2023-03-03,160.14 
2023-03-04,161.47 
2023-03-05,174.32 
2023-03-06,171.29 
2023-03-07,170.36 
2023-03-08,169.80 
2023-03-09,170.15 
2023-03-10,172.53 
2023-03-11,177.66 
2023-03-12,178.87 
2023-03-13,180.53 
2023-03-14,180.82 
2023-03-15,180.71 
2023-03-16,185.39 
2023-03-17,185.60 
2023-03-18,186.05 
2023-03-19,187.14 
2023-03-20,185.58 
2023-03-21,186.29 
2023-03-22,179.39 
2023-03-23,180.64 
2023-03-24,195.42 
2023-03-25,202.53 
2023-03-26,194.04 
2023-03-27,230.30 
2023-03-28,211.92 
2023-03-29,209.58 
2023-03-30,238.60 
2023-03-31,242.01 
2023-04-01,243.79 
2023-04-02,287.37 
2023-04-03,276.54 
2023-04-04,276.55 
2023-04-05,278.34 
2023-04-06,281.06 
2023-04-07,295.25 
2023-04-08,297.21 
2023-04-09,298.32 
2023-04-10,333.29 
2023-04-11,322.20 
2023-04-12,323.85 
2023-04-13,323.41 
2023-04-14,324.68 
2023-04-15,346.10 
2023-04-16,351.14 
2023-04-17,344.92 
2023-04-18,412.27 
2023-04-19,359.92 
2023-04-20,407.10 
2023-04-21,402.36 
2023-04-22,371.16 
2023-04-23,400.74 
2023-04-24,400.67 
2023-04-25,382.83 
2023-04-26,315.03 
2023-04-27,290.88 
2023-04-28,304.42 
2023-04-29,306.36 
2023-04-30,310.06 
2023-05-01,326.39 
2023-05-02,316.85 
2023-05-03,308.29 
2023-05-04,312.20 
2023-05-05,315.80 
2023-05-06,305.11 
2023-05-07,303.68 
2023-05-08,298.39 
2023-05-09,286.26 
2023-05-10,276.20 
2023-05-11,276.32 
2023-05-12,284.22 
2023-05-13,288.05 
2023-05-14,288.00 
2023-05-15,299.05 
2023-05-16,296.18 
2023-05-17,294.24 
2023-05-18,295.37 
2023-05-19,297.81 
2023-05-20,300.01 
2023-05-21,298.14 
2023-05-22,296.76 
2023-05-23,297.96 
2023-05-24,292.34 
2023-05-25,294.77 
2023-05-26,294.65 
2023-05-27,299.10 
2023-05-28,302.18 
2023-05-29,297.80 
2023-05-30,298.25 
2023-05-31,317.29 
2023-06-01,313.82 
2023-06-02,319.70 
2023-06-03,327.78 
2023-06-04,324.31 
2023-06-05,330.46 
2023-06-06,337.14 
2023-06-07,337.19 
2023-06-08,337.15 
2023-06-09,340.58 
2023-06-10,341.38 
2023-06-11,340.31 
2023-06-12,345.34 
2023-06-13,354.01 
2023-06-14,344.84 
2023-06-15,347.42 
2023-06-16,351.71 
2023-06-17,353.66 
2023-06-18,350.73 
2023-06-19,346.17 
2023-06-20,346.01 
2023-06-21,335.88 
2023-06-22,340.06 
2023-06-23,333.44 
2023-06-24,330.31 
2023-06-25,326.56 
2023-06-26,323.62 
2023-06-27,325.16 
2023-06-28,322.77 
