date,account_id,account_label,name,qty,lowest,median,total_lowest,total_median,type,exterior,rarity,quality,family,market_url,currency
2026-05-20,76561198059817397,Main Account,Sawed-Off | Snake Camo (Field-Tested),1,,0.04,0,0.04,Shotgun,Field-Tested,Industrial Grade,Normal,Sawed-Off,https://steamcommunity.com/market/listings/730/Sawed-Off%20%7C%20Snake%20Camo%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,MAG-7 | Rust Coat (Field-Tested),1,0.03,0.03,0.03,0.03,Shotgun,Field-Tested,Consumer Grade,Normal,MAG-7,https://steamcommunity.com/market/listings/730/MAG-7%20%7C%20Rust%20Coat%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,MP9 | Orange Peel (Field-Tested),1,0.06,0.05,0.06,0.05,SMG,Field-Tested,Industrial Grade,Normal,MP9,https://steamcommunity.com/market/listings/730/MP9%20%7C%20Orange%20Peel%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,AUG | Condemned (Field-Tested),1,0.06,0.05,0.06,0.05,Rifle,Field-Tested,Industrial Grade,Normal,AUG,https://steamcommunity.com/market/listings/730/AUG%20%7C%20Condemned%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,MAG-7 | Metallic DDPAT (Factory New),2,0.17,0.16,0.34,0.32,Shotgun,Factory New,Industrial Grade,Normal,MAG-7,https://steamcommunity.com/market/listings/730/MAG-7%20%7C%20Metallic%20DDPAT%20%28Factory%20New%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Prisma 2 Case,10,,2.21,0,22.1,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Prisma%202%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Danger Zone Case,13,,2.11,0,27.43,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Danger%20Zone%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,StatTrak™ SSG 08 | Turbo Peek (Field-Tested),1,32.63,38.94,32.63,38.94,Sniper Rifle,Field-Tested,Classified,StatTrak™,SSG 08,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20SSG%2008%20%7C%20Turbo%20Peek%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,SCAR-20 | Carbon Fiber (Minimal Wear),1,0.15,0.15,0.15,0.15,Sniper Rifle,Minimal Wear,Industrial Grade,Normal,SCAR-20,https://steamcommunity.com/market/listings/730/SCAR-20%20%7C%20Carbon%20Fiber%20%28Minimal%20Wear%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Glock-18 | High Beam (Factory New),2,0.21,0.21,0.42,0.42,Pistol,Factory New,Industrial Grade,Normal,Glock-18,https://steamcommunity.com/market/listings/730/Glock-18%20%7C%20High%20Beam%20%28Factory%20New%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,PP-Bizon | Brass (Field-Tested),1,0.19,0.2,0.19,0.2,SMG,Field-Tested,Mil-Spec Grade,Normal,PP-Bizon,https://steamcommunity.com/market/listings/730/PP-Bizon%20%7C%20Brass%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,SSG 08 | Ghost Crusader (Minimal Wear),1,3.01,3.01,3.01,3.01,Sniper Rifle,Minimal Wear,Restricted,Normal,SSG 08,https://steamcommunity.com/market/listings/730/SSG%2008%20%7C%20Ghost%20Crusader%20%28Minimal%20Wear%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Gamma 2 Case,28,4.21,4.22,117.88,118.16,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Gamma%202%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Chroma 2 Case,8,,5.6,0,44.8,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Chroma%202%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Prisma Case,7,,2.2,0,15.4,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Prisma%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,CS20 Case,4,1.77,1.81,7.08,7.24,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/CS20%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Spectrum 2 Case,46,4.18,4.19,192.28,192.74,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Spectrum%202%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Tec-9 | Cracked Opal (Field-Tested),1,0.32,0.33,0.32,0.33,Pistol,Field-Tested,Mil-Spec Grade,Normal,Tec-9,https://steamcommunity.com/market/listings/730/Tec-9%20%7C%20Cracked%20Opal%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sticker | Terrorist-Tech,1,0.18,0.19,0.18,0.19,Sticker,,High Grade,Normal,Sticker,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Terrorist-Tech?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sticker | Shattered Web,1,0.43,0.44,0.43,0.44,Sticker,,High Grade,Normal,Sticker,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Shattered%20Web?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sticker | Mastermind,1,0.27,0.27,0.27,0.27,Sticker,,High Grade,Normal,Sticker,https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Mastermind?l=german,EUR
2026-05-20,76561198059817397,Main Account,AWP | Safari Mesh (Battle-Scarred),1,0.21,0.32,0.21,0.32,Sniper Rifle,Battle-Scarred,Industrial Grade,Normal,AWP,https://steamcommunity.com/market/listings/730/AWP%20%7C%20Safari%20Mesh%20%28Battle-Scarred%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Gamma Case,14,4.44,4.47,62.16,62.58,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Gamma%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Operation Wildfire Case,1,4.83,4.88,4.83,4.88,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,Revolver Case,2,4.15,4.15,8.3,8.3,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Revolver%20Case?l=german,EUR
